display_name,timestamp,value,unit,motion_context,source_name,hk_type
Heart rate,2026-07-14 03:20:48+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:49+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:50+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:51+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:52+09:00,74.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:53+09:00,76.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:54+09:00,76.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:55+09:00,77.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:56+09:00,77.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:57+09:00,76.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:58+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:20:59+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:01+09:00,76.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:06+09:00,76.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:11+09:00,77.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:16+09:00,77.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:18+09:00,77.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:25+09:00,79.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:27+09:00,78.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:35+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:38+09:00,77.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:45+09:00,81.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:22:48+09:00,82.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:03+09:00,75.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:08+09:00,73.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:13+09:00,73.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:18+09:00,73.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:23+09:00,72.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:27+09:00,71.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:33+09:00,70.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:23:34+09:00,70.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:24:09+09:00,88.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:24:35+09:00,71.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 03:24:45+09:00,72.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:23:41+09:00,86.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:23:46+09:00,88.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:23:50+09:00,91.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:23:52+09:00,90.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:24:01+09:00,93.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:24:03+09:00,91.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:24:08+09:00,86.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:24:15+09:00,89.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:24:19+09:00,87.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-14 13:24:22+09:00,87.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:09:07+09:00,110.0,count/min,1,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:10:07+09:00,128.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:10:12+09:00,131.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:10:17+09:00,135.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:10:22+09:00,137.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:10:23+09:00,137.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:31+09:00,133.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:35+09:00,139.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:41+09:00,140.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:45+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:47+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:55+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:11:57+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:02+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:07+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:16+09:00,145.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:20+09:00,146.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:22+09:00,146.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:30+09:00,144.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:33+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:37+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:44+09:00,146.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:49+09:00,145.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:53+09:00,145.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:12:59+09:00,145.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:02+09:00,146.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:11+09:00,147.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:12+09:00,147.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:18+09:00,150.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:26+09:00,149.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:27+09:00,150.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:32+09:00,150.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:37+09:00,151.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:42+09:00,151.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:47+09:00,150.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:52+09:00,149.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:13:58+09:00,148.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:02+09:00,148.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:11+09:00,148.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:12+09:00,145.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:17+09:00,149.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:26+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:29+09:00,145.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:32+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:41+09:00,144.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:43+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:51+09:00,140.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:54+09:00,139.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:14:58+09:00,137.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:02+09:00,137.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:11+09:00,141.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:14+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:17+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:26+09:00,147.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:27+09:00,147.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:32+09:00,153.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:40+09:00,160.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:44+09:00,163.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:48+09:00,162.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:53+09:00,161.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:15:57+09:00,159.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:04+09:00,157.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:11+09:00,158.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:14+09:00,157.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:17+09:00,155.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:25+09:00,151.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:31+09:00,146.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:32+09:00,146.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:41+09:00,144.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:42+09:00,144.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:49+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:53+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:16:57+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:17:05+09:00,142.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:17:09+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:17:13+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
Heart rate,2026-07-16 08:17:17+09:00,143.0,count/min,0,김아연의 Apple Watch,HKQuantityTypeIdentifierHeartRate
